id;content;start
1;<small><b>Criação do SUS</b></small>;1988-10-05
2;<small>Concepção do SIOPS no</br>Conselho Nacional de Saúde</small>;1993-01-01
3;<small>Projeto de implantação do SIOPS</small>;1999-04-30
4;<small>Instituicionalização do SIOPS</small>;2000-10-11
5;<small>Relatório Resumido de Execução Orçamentária</br>(RREO) com base no SIOPS</small>;2002-01-01
6;<small>EC 29/2000 de aplicação<br>mínima de recursos</small>;2000-09-13
7;<small>Lei Complementar nº 141 torna obrigatório o registro no SIOPS</small>;2012-01-13
8;<small>Declaração bimestral passa a alcançar todos os entes federados</small>;2013-01-01
