id;content;start;end
1;<small>Formulação do <b>Programa Nacional de Imunizações</b></small>;1973-09-18;
2;<small>Institucionalização do PNI</small>;1975-10-30;
3;<small>Retomada da informatização com o SI-API</small>;1994-01-01;1997-12-31
4;<small>Implantação do SI-PNI nominal</small>;2010-01-01;
5;<small>Novo SI-PNI registra a vacinação contra a Covid-19 e integra dados à RNDS</small>;2021-01-01;
6;<small>Encerramento das entradas no SI-PNI Web/Desktop e novo módulo de rotina</small>;2023-06-01;
7;<small>Portaria determina o envio dos registros vacinais exclusivamente à RNDS</small>;2024-10-31;
